,Filings,URLs,Filing Date
71,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000017/0000886206-13-000017-index.htm,2013-04-04
72,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000015/0000886206-13-000015-index.htm,2013-03-27
73,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000013/0000886206-13-000013-index.htm,2013-03-22
74,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000012/0000886206-13-000012-index.htm,2013-03-14
75,CORRESP,https://www.sec.gov/Archives/edgar/data/886206/000088620613000010/0000886206-13-000010-index.htm,2013-03-11
76,UPLOAD,https://www.sec.gov/Archives/edgar/data/886206/000000000013011546/0000000000-13-011546-index.htm,2013-03-04
77,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000008/0000886206-13-000008-index.htm,2013-02-28
78,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312513071475/0001193125-13-071475-index.htm,2013-02-22
79,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312513051813/0001193125-13-051813-index.htm,2013-02-12
80,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000119312513051720/0001193125-13-051720-index.htm,2013-02-12
81,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000116767413000104/0001167674-13-000104-index.htm,2013-02-11
82,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114420413005625/0001144204-13-005625-index.htm,2013-02-04
83,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000006/0000886206-13-000006-index.htm,2013-01-29
84,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312513010793/0001193125-13-010793-index.htm,2013-01-11
85,ARS,https://www.sec.gov/Archives/edgar/data/886206/999999999713000192/9999999997-13-000192-index.htm,2013-01-10
86,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620613000004/0000886206-13-000004-index.htm,2013-01-10
87,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000002/0000886206-13-000002-index.htm,2013-01-03
88,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000038/0000886206-12-000038-index.htm,2012-12-18
89,DEF 14A,https://www.sec.gov/Archives/edgar/data/886206/000088620612000036/0000886206-12-000036-index.htm,2012-12-14
90,10-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000034/0000886206-12-000034-index.htm,2012-11-14
91,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000032/0000886206-12-000032-index.htm,2012-11-08
92,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000030/0000886206-12-000030-index.htm,2012-10-30
93,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312512408243/0001193125-12-408243-index.htm,2012-09-28
94,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000029/0000886206-12-000029-index.htm,2012-07-26
95,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620612000028/0000886206-12-000028-index.htm,2012-07-03
96,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000026/0000886206-12-000026-index.htm,2012-06-28
97,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000024/0000886206-12-000024-index.htm,2012-06-25
98,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000022/0000886206-12-000022-index.htm,2012-06-19
99,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000020/0000886206-12-000020-index.htm,2012-06-19
100,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620616000049/0000886206-16-000049-index.htm,2016-01-22
101,SC TO-I/A,https://www.sec.gov/Archives/edgar/data/886206/000110465916090183/0001104659-16-090183-index.htm,2016-01-19
102,SC TO-I/A,https://www.sec.gov/Archives/edgar/data/886206/000110465916089575/0001104659-16-089575-index.htm,2016-01-13
103,10-Q/A,https://www.sec.gov/Archives/edgar/data/886206/000088620616000045/0000886206-16-000045-index.htm,2016-01-08
104,SC TO-I/A,https://www.sec.gov/Archives/edgar/data/886206/000110465916088688/0001104659-16-088688-index.htm,2016-01-07
105,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620616000043/0000886206-16-000043-index.htm,2016-01-07
106,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620616000041/0000886206-16-000041-index.htm,2016-01-07
107,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000039/0000886206-15-000039-index.htm,2015-12-22
108,DEF 14A,https://www.sec.gov/Archives/edgar/data/886206/000088620615000037/0000886206-15-000037-index.htm,2015-12-14
109,SC TO-I,https://www.sec.gov/Archives/edgar/data/886206/000104746915009182/0001047469-15-009182-index.htm,2015-12-14
110,SC TO-C,https://www.sec.gov/Archives/edgar/data/886206/000088620615000035/0000886206-15-000035-index.htm,2015-12-08
111,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000033/0000886206-15-000033-index.htm,2015-12-08
112,10-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000031/0000886206-15-000031-index.htm,2015-11-13
113,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000028/0000886206-15-000028-index.htm,2015-11-04
114,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000026/0000886206-15-000026-index.htm,2015-10-21
115,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620615000025/0000886206-15-000025-index.htm,2015-07-09
116,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114420415040829/0001144204-15-040829-index.htm,2015-07-02
117,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000023/0000886206-15-000023-index.htm,2015-07-01
118,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000021/0000886206-15-000021-index.htm,2015-06-18
119,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312515197132/0001193125-15-197132-index.htm,2015-05-21
120,8-K,https://www.sec.gov/Archives/edgar/data/886206/000091228215000142/0000912282-15-000142-index.htm,2015-04-21
121,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620615000019/0000886206-15-000019-index.htm,2015-04-09
122,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000017/0000886206-15-000017-index.htm,2015-04-02
123,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000015/0000886206-15-000015-index.htm,2015-04-01
124,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000013/0000886206-15-000013-index.htm,2015-03-27
125,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000011/0000886206-15-000011-index.htm,2015-03-20
126,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000081413315000035/0000814133-15-000035-index.htm,2015-03-10
127,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000081413315000024/0000814133-15-000024-index.htm,2015-02-17
128,SC 13G,https://www.sec.gov/Archives/edgar/data/886206/000139834415000774/0001398344-15-000774-index.htm,2015-02-09
129,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000125889715000773/0001258897-15-000773-index.htm,2015-02-05
130,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114420415005929/0001144204-15-005929-index.htm,2015-02-04
131,424B3,https://www.sec.gov/Archives/edgar/data/886206/000091228215000059/0000912282-15-000059-index.htm,2015-02-02
132,EFFECT,https://www.sec.gov/Archives/edgar/data/886206/999999999515000197/9999999995-15-000197-index.htm,2015-01-26 10:00:00
133,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000008/0000886206-15-000008-index.htm,2015-01-26
134,S-3/A,https://www.sec.gov/Archives/edgar/data/886206/000091228215000042/0000912282-15-000042-index.htm,2015-01-26
135,S-8,https://www.sec.gov/Archives/edgar/data/886206/000088620615000006/0000886206-15-000006-index.htm,2015-01-23
136,S-3/A,https://www.sec.gov/Archives/edgar/data/886206/000091228215000018/0000912282-15-000018-index.htm,2015-01-09
137,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620615000004/0000886206-15-000004-index.htm,2015-01-08
138,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000002/0000886206-15-000002-index.htm,2015-01-08
139,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000029/0000886206-14-000029-index.htm,2014-12-23
140,DEF 14A,https://www.sec.gov/Archives/edgar/data/886206/000088620614000027/0000886206-14-000027-index.htm,2014-12-22
141,S-3,https://www.sec.gov/Archives/edgar/data/886206/000088620614000025/0000886206-14-000025-index.htm,2014-11-21
142,10-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000024/0000886206-14-000024-index.htm,2014-11-14
143,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312514403533/0001193125-14-403533-index.htm,2014-11-07
144,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000021/0000886206-14-000021-index.htm,2014-11-06
145,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000019/0000886206-14-000019-index.htm,2014-10-23
146,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620614000017/0000886206-14-000017-index.htm,2014-07-10
147,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000015/0000886206-14-000015-index.htm,2014-06-27
148,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000013/0000886206-14-000013-index.htm,2014-06-19
149,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620614000012/0000886206-14-000012-index.htm,2014-04-10
150,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000010/0000886206-14-000010-index.htm,2014-04-03
151,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000008/0000886206-14-000008-index.htm,2014-03-20
152,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000119312514048104/0001193125-14-048104-index.htm,2014-02-12
153,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000116767414000664/0001167674-14-000664-index.htm,2014-02-10
154,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114420414006419/0001144204-14-006419-index.htm,2014-02-06
155,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000006/0000886206-14-000006-index.htm,2014-01-28
156,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620614000004/0000886206-14-000004-index.htm,2014-01-09
157,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000002/0000886206-14-000002-index.htm,2014-01-07
158,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000038/0000886206-13-000038-index.htm,2013-12-20
159,DEF 14A,https://www.sec.gov/Archives/edgar/data/886206/000088620613000036/0000886206-13-000036-index.htm,2013-12-16
160,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000034/0000886206-13-000034-index.htm,2013-11-26
161,10-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000032/0000886206-13-000032-index.htm,2013-11-14
162,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000030/0000886206-13-000030-index.htm,2013-11-07
163,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000028/0000886206-13-000028-index.htm,2013-10-25
164,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000026/0000886206-13-000026-index.htm,2013-09-23
165,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620613000025/0000886206-13-000025-index.htm,2013-07-11
166,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000023/0000886206-13-000023-index.htm,2013-07-09
167,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000021/0000886206-13-000021-index.htm,2013-06-25
168,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000109690613000693/0001096906-13-000693-index.htm,2013-05-09
169,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620613000019/0000886206-13-000019-index.htm,2013-04-11
170,UPLOAD,https://www.sec.gov/Archives/edgar/data/886206/000000000013019201/0000000000-13-019201-index.htm,2013-04-10
171,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000017/0000886206-13-000017-index.htm,2013-04-04
172,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000015/0000886206-13-000015-index.htm,2013-03-27
173,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000013/0000886206-13-000013-index.htm,2013-03-22
174,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000012/0000886206-13-000012-index.htm,2013-03-14
175,CORRESP,https://www.sec.gov/Archives/edgar/data/886206/000088620613000010/0000886206-13-000010-index.htm,2013-03-11
176,UPLOAD,https://www.sec.gov/Archives/edgar/data/886206/000000000013011546/0000000000-13-011546-index.htm,2013-03-04
177,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000008/0000886206-13-000008-index.htm,2013-02-28
178,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312513071475/0001193125-13-071475-index.htm,2013-02-22
179,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312513051813/0001193125-13-051813-index.htm,2013-02-12
180,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000119312513051720/0001193125-13-051720-index.htm,2013-02-12
181,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000116767413000104/0001167674-13-000104-index.htm,2013-02-11
182,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114420413005625/0001144204-13-005625-index.htm,2013-02-04
183,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000006/0000886206-13-000006-index.htm,2013-01-29
184,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312513010793/0001193125-13-010793-index.htm,2013-01-11
185,ARS,https://www.sec.gov/Archives/edgar/data/886206/999999999713000192/9999999997-13-000192-index.htm,2013-01-10
186,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620613000004/0000886206-13-000004-index.htm,2013-01-10
187,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000002/0000886206-13-000002-index.htm,2013-01-03
188,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000038/0000886206-12-000038-index.htm,2012-12-18
189,DEF 14A,https://www.sec.gov/Archives/edgar/data/886206/000088620612000036/0000886206-12-000036-index.htm,2012-12-14
190,10-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000034/0000886206-12-000034-index.htm,2012-11-14
191,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000032/0000886206-12-000032-index.htm,2012-11-08
192,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000030/0000886206-12-000030-index.htm,2012-10-30
193,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312512408243/0001193125-12-408243-index.htm,2012-09-28
194,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000029/0000886206-12-000029-index.htm,2012-07-26
195,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620612000028/0000886206-12-000028-index.htm,2012-07-03
196,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000026/0000886206-12-000026-index.htm,2012-06-28
197,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000024/0000886206-12-000024-index.htm,2012-06-25
198,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000022/0000886206-12-000022-index.htm,2012-06-19
199,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000020/0000886206-12-000020-index.htm,2012-06-19
200,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620612000018/0000886206-12-000018-index.htm,2012-04-04
201,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620612000016/0000886206-12-000016-index.htm,2012-03-29
