,Filings,URLs,Filing Date
105,PRE 14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000053/0001326801-16-000053-index.htm,2016-04-27
106,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000016073605/0000000000-16-073605-index.htm,2016-04-25
107,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312516462685/0001193125-16-462685-index.htm,2016-02-12
108,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000031506616005128/0000315066-16-005128-index.htm,2016-02-12
109,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000093247116010854/0000932471-16-010854-index.htm,2016-02-10
110,10-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/0001326801-16-000043-index.htm,2016-01-28
111,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000038/0001326801-16-000038-index.htm,2016-01-27
112,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000021545716002768/0000215457-16-002768-index.htm,2016-01-26
113,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000035/0001326801-15-000035-index.htm,2015-12-01
114,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000032/0001326801-15-000032-index.htm,2015-11-05
115,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000030/0001326801-15-000030-index.htm,2015-11-04
116,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000015050854/0000000000-15-050854-index.htm,2015-10-21
117,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312515348420/0001193125-15-348420-index.htm,2015-10-20
118,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312515312079/0001193125-15-312079-index.htm,2015-09-03
119,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000015042537/0000000000-15-042537-index.htm,2015-08-21
120,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000028/0001326801-15-000028-index.htm,2015-07-31
121,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000026/0001326801-15-000026-index.htm,2015-07-29
122,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312515251045/0001193125-15-251045-index.htm,2015-07-13
123,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000015034286/0000000000-15-034286-index.htm,2015-06-30
124,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000023/0001326801-15-000023-index.htm,2015-06-15
