,Filings,URLs,Filing Date
69,PX14A6G,https://www.sec.gov/Archives/edgar/data/1018724/000137773918000013/0001377739-18-000013-index.htm,2018-05-01
70,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000119312518139368/0001193125-18-139368-index.htm,2018-04-27
71,CORRESP,https://www.sec.gov/Archives/edgar/data/1018724/000119312518136593/0001193125-18-136593-index.htm,2018-04-27
72,S-4,https://www.sec.gov/Archives/edgar/data/1018724/000119312518135968/0001193125-18-135968-index.htm,2018-04-27
73,IRANNOTICE,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000074/0001018724-18-000074-index.htm,2018-04-27
74,10-Q,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000072/0001018724-18-000072-index.htm,2018-04-27
75,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000070/0001018724-18-000070-index.htm,2018-04-26
76,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000119312518121161/0001193125-18-121161-index.htm,2018-04-18
77,DEFA14A,https://www.sec.gov/Archives/edgar/data/1018724/000119312518121087/0001193125-18-121087-index.htm,2018-04-18
78,DEF 14A,https://www.sec.gov/Archives/edgar/data/1018724/000119312518121077/0001193125-18-121077-index.htm,2018-04-18
79,UPLOAD,https://www.sec.gov/Archives/edgar/data/1018724/000000000018007404/0000000000-18-007404-index.htm,2018-03-09
80,CORRESP,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000011/0001018724-18-000011-index.htm,2018-02-16
81,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1018724/000093247118004538/0000932471-18-004538-index.htm,2018-02-12
82,IRANNOTICE,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000007/0001018724-18-000007-index.htm,2018-02-02
83,10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000005/0001018724-18-000005-index.htm,2018-02-02
84,CORRESP,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000009/0001018724-18-000009-index.htm,2018-02-01
85,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000002/0001018724-18-000002-index.htm,2018-02-01
86,SC 13G,https://www.sec.gov/Archives/edgar/data/1018724/000021545718004468/0000215457-18-004468-index.htm,2018-02-01
87,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1018724/000119312518021715/0001193125-18-021715-index.htm,2018-01-26
88,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1018724/000119312518021708/0001193125-18-021708-index.htm,2018-01-26
89,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1018724/000119312518017471/0001193125-18-017471-index.htm,2018-01-23
90,UPLOAD,https://www.sec.gov/Archives/edgar/data/1018724/000000000018002347/0000000000-18-002347-index.htm,2018-01-23
91,S-8 POS,https://www.sec.gov/Archives/edgar/data/1018724/000119312518014849/0001193125-18-014849-index.htm,2018-01-19
92,S-8 POS,https://www.sec.gov/Archives/edgar/data/1018724/000119312518014845/0001193125-18-014845-index.htm,2018-01-19
93,S-8 POS,https://www.sec.gov/Archives/edgar/data/1018724/000119312518014842/0001193125-18-014842-index.htm,2018-01-19
94,S-8 POS,https://www.sec.gov/Archives/edgar/data/1018724/000119312518014838/0001193125-18-014838-index.htm,2018-01-19
95,S-8 POS,https://www.sec.gov/Archives/edgar/data/1018724/000119312518014833/0001193125-18-014833-index.htm,2018-01-19
96,S-8 POS,https://www.sec.gov/Archives/edgar/data/1018724/000119312518014830/0001193125-18-014830-index.htm,2018-01-19
97,S-8 POS,https://www.sec.gov/Archives/edgar/data/1018724/000119312518014826/0001193125-18-014826-index.htm,2018-01-19
98,S-8 POS,https://www.sec.gov/Archives/edgar/data/1018724/000119312518014823/0001193125-18-014823-index.htm,2018-01-19
99,CORRESP,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000177/0001018724-17-000177-index.htm,2017-12-21
